ActivityDate,Participant_Count,grp_Avg_Daily_Calories,grp_Avg_Daily_Steps,grp_Total_Logs,grp_Empty_Logs,grp_Percentage_EmptyLogs,grp_Manual_Logs,grp_Percentage_ManualEntry,grp_Avg_Daily_Distance_km,grp_Avg_HA_Distance_km,grp_Avg_MOD_Distance_km,grp_Avg_LA_Distance_km,grp_Avg_SED_Distance_km,grp_Avg_Total_Min_Tracked,grp_Avg_HA_Min,grp_Avg_MOD_Min,grp_Avg_LA_Min,grp_Avg_SED_Min,Day_of_Week
2016-04-12,33,2390.6969696969695,8236.8484848484859,33,2,6.0606060606060606,2,6.0606060606060606,5.9827272485603,1.8263636439135589,0.34606060476014094,3.4099999910051184,0.00030303029625704784,1255.3636363636363,22.3030303030303,7.8484848484848486,199.00000000000003,1026.212121212121,Tuesday
2016-04-13,33,2286.6363636363631,7198.727272727273,33,2,6.0606060606060606,2,6.0606060606060606,5.1033333160660472,1.3266666810395145,0.42000000382011576,3.1409090919928109,0.0015151514812852423,1234.4545454545453,20.333333333333332,10.575757575757578,181.75757575757575,1021.7878787878785,Wednesday
2016-04-14,33,2356.393939393939,7743.5757575757571,33,2,6.0606060606060606,2,6.0606060606060606,5.599393962459132,1.5096969759148189,0.509696971286427,3.5684848544611172,0.0021212120737993351,1244.363636363636,20.939393939393938,12.393939393939396,201.00000000000003,1010.0303030303029,Thursday
2016-04-15,33,2355.1818181818185,7533.848484848485,33,0,0.0,0,0.0,5.28787877704158,1.0557575768819352,0.40393939219189434,3.7672727288621863,0.0015151514812852412,1203.969696969697,19.181818181818183,9.87878787878788,213.84848484848484,961.060606060606,Friday
2016-04-16,32,2392.9375,8679.1562500000018,32,1,3.125,0,0.0,6.2915625174646248,1.9937499668449175,0.70874999987427145,3.4506249997648424,0.0015624999650754017,1239.4375,27.84375,15.125000000000002,193.81249999999997,1002.6562499999999,Saturday
2016-04-17,32,2230.96875,6409.2499999999991,32,3,9.375,0,0.0,4.5406249602674515,1.1453124834224579,0.49749999726191174,2.8221875028102659,0.00062499998603016127,1246.0625,18.906249999999993,11.843749999999996,165.34375000000003,1049.96875,Sunday
2016-04-18,32,2333.375,7896.9687499999991,32,1,3.125,2,6.25,5.657812474993988,1.6656250194646414,0.6959374991711228,3.281250002561138,0.0015624999650754061,1290.0312500000002,24.40625,16.125,188.28125,1061.2187500000002,Monday
2016-04-19,32,2359.09375,8048.6562499999991,32,4,12.5,2,6.25,5.8718749247491315,1.8831249974900868,0.51906250463798687,3.4634374938905235,0.00093749997904524359,1243.5937499999998,23.96875,13.781250000000002,201.90625,1003.9374999999999,Tuesday
2016-04-20,32,2395.2187500000005,8162.9687500000009,32,2,6.25,2,6.25,5.9503125439514424,1.8618750073947019,0.63343749404884886,3.450937528454233,0.001874999958090485,1220.65625,24.187500000000004,18.75,203.59375,974.125,Wednesday
2016-04-21,32,2421.875,8243.5937499999982,32,4,12.5,2,6.25,6.0300000673159913,1.9228125183144571,0.62187499552965142,3.1621874812990427,0.0049999999464489667,1256.3125000000002,26.843749999999996,14.9375,182.65625000000003,1031.8749999999998,Thursday
2016-04-22,32,2327.6562499999991,7446.3749999999991,32,1,3.125,1,3.125,5.3278124725911793,1.6109374812804156,0.51187499979278039,3.1878124608192588,0.0028124999953433897,1265.34375,24.4375,13.249999999999998,195.53125,1032.125,Friday
2016-04-23,32,2397.15625,8347.625,32,3,9.375,0,0.0,5.8412500396370906,1.1581249833106981,0.604374992195517,4.0743750333786,0.00093749997904524185,1226.625,18.78125,15.031249999999998,232.90625000000003,959.90625000000011,Saturday
2016-04-24,32,2291.4374999999995,7394.40625,32,2,6.25,0,0.0,5.4675000272691285,1.7668750196462479,0.617812494107056,3.0793750341981658,0.00062499998603016246,1213.2187499999998,21.03125,13.71875,186.31249999999997,992.15625,Sunday
2016-04-25,32,2349.5624999999995,7932.78125,32,4,12.5,3,9.375,5.6328125181607911,1.7834374918602405,0.450312500935979,3.3937500114552681,0.004375000018626448,1271.3437499999995,28.40625,11.375,192.875,1038.6875,Monday
2016-04-26,32,2331.3749999999995,7834.0,32,3,9.375,1,3.125,5.5346875265240651,1.3312499935273079,0.71968748641666036,3.4743749834597093,0.00062499998603016116,1263.09375,19.812499999999996,17.625000000000007,200.25,1025.40625,Tuesday
2016-04-27,32,2328.5625000000005,8078.6250000000009,32,3,9.375,1,3.125,5.9153124988079089,1.9959374843165263,0.52062500029569481,3.3943749815225597,0.0012499999720603215,1236.2499999999998,23.65625,10.78125,197.56249999999994,1004.2500000000002,Wednesday
2016-04-28,32,2316.0625,7593.6250000000009,32,1,3.125,0,0.0,5.3615625165402916,1.2721874974668033,0.47187499655410692,3.6143749901093556,0.0,1220.6875000000005,17.968750000000007,11.8125,209.18749999999997,981.71875,Thursday
2016-04-29,32,2272.5625000000005,7321.5312499999991,32,4,12.5,1,3.125,5.1812499882071306,1.0734374946914611,0.55499999923631538,3.5490624801605017,0.00031249999301508058,1224.9999999999998,16.250000000000004,14.0,204.96875000000003,989.78125000000011,Friday
2016-04-30,31,2373.9354838709678,8346.0000000000036,31,3,9.67741935483871,0,0.0,6.1006451037622265,1.5961290194142239,0.72806451241335546,3.7725806390085515,0.0012903225518042037,1194.258064516129,20.258064516129039,16.548387096774196,218.54838709677421,938.90322580645159,Saturday
2016-05-01,30,2230.4333333333329,6895.6666666666679,30,2,6.666666666666667,0,0.0,4.9749999940395346,1.6753333454330752,0.62300000259031885,2.6533333241939556,0.0013333333035310136,1152.1000000000001,22.633333333333336,15.699999999999998,160.26666666666662,953.5,Sunday
