Id,avg_daily_calories,avg_daily_steps,avg_daily_distance_km,avg_HA_min,avg_MOD_min,avg_LA_min,avg_SED_min,Avg_TotalMin_InBed_min,Avg_Min_Asleep
5577150313,3359.6333333333328,8304.4333333333288,6.2133333047231032,87.333333333333329,29.833333333333336,147.93333333333334,754.43333333333339,460.61538461538464,432.0
8053475328,2945.8064516129039,14763.290322580646,11.475161198646791,85.161290322580626,9.5806451612903238,150.96774193548387,1148.0,301.66666666666669,297.0
8877689391,3420.2580645161288,16040.032258064515,13.212903138129944,66.064516129032256,9.935483870967742,234.70967741935488,1112.8709677419354,,
8378563200,3436.5806451612907,8717.709677419356,6.9135484618525309,58.6774193548387,10.25806451612903,156.09677419354836,716.12903225806463,485.93548387096774,445.12903225806451
7086361926,2566.354838709678,9371.7741935483828,6.3880645078156268,42.580645161290313,25.354838709677416,143.83870967741939,850.45161290322574,466.41666666666669,453.125
1503960366,1816.4193548387095,12116.741935483873,7.8096773855147843,38.709677419354826,19.161290322580644,219.93548387096774,848.16129032258061,383.2,360.28
2022484408,2509.9677419354839,11370.645161290324,8.0841934911666353,36.290322580645167,19.354838709677416,257.45161290322579,1112.5806451612905,,
7007744171,2544.0000000000005,11323.423076923076,8.0153845915427571,31.038461538461533,16.26923076923077,280.73076923076923,1055.3461538461538,71.5,68.5
5553957443,1875.6774193548385,8612.58064516129,5.6396774495801605,23.419354838709676,13.000000000000002,206.1935483870968,668.35483870967721,505.87096774193543,463.48387096774189
4388161847,3093.8709677419356,10813.935483870966,8.39322589289757,23.161290322580648,20.35483870967742,229.35483870967744,836.67741935483866,423.21739130434793,400.17391304347825
6962181067,1982.0322580645163,9794.8064516129034,6.585806477454403,22.806451612903221,18.516129032258068,245.8064516129032,662.32258064516111,466.12903225806451,448.0
8253242879,1788.0,6482.1578947368416,4.6673684684853809,20.526315789473685,14.315789473684211,116.89473684210526,1287.3684210526317,,
3977333714,1513.666666666667,10984.566666666666,7.5169999440511077,18.900000000000002,61.266666666666659,174.76666666666668,707.5333333333333,461.14285714285717,293.64285714285717
2873212765,1916.9677419354837,7555.7741935483873,5.1016128601566448,14.096774193548388,6.1290322580645169,308.0,1097.1935483870968,,
2347167796,2043.4444444444443,9519.6666666666661,6.355555535915002,13.5,20.555555555555561,252.5,687.16666666666674,491.33333333333337,446.8
6775888955,2131.7692307692309,2519.6923076923072,1.813461516124125,11.0,14.807692307692308,40.153846153846153,1299.4230769230771,369.0,349.66666666666669
4558609924,2033.258064516129,7685.1290322580644,5.0806451766721672,10.38709677419355,13.709677419354836,284.96774193548384,1093.6129032258066,140.0,127.6
8583815059,2732.0322580645166,7198.5161290322576,5.6154838223611181,9.6774193548387082,22.193548387096779,138.29032258064512,1267.2258064516127,,
1644430081,2811.3,7282.9666666666672,5.2953333536783864,9.5666666666666664,21.36666666666666,178.46666666666661,1161.8666666666666,346.0,294.0
3372868164,1933.0999999999995,6861.6499999999987,4.7070000410079968,9.15,4.1,327.9,1077.5500000000002,,
1624580081,1483.3548387096776,5743.9032258064517,3.9148387293661782,8.6774193548387117,5.8064516129032251,153.48387096774195,1257.7419354838707,,
4445114986,2186.1935483870966,4796.5483870967746,3.2458064402303384,6.612903225806452,1.7419354838709677,209.09677419354841,829.90322580645159,416.82142857142867,385.17857142857144
4020332650,2385.8064516129034,2267.2258064516122,1.6261290389323431,5.193548387096774,5.354838709677419,76.93548387096773,1237.2580645161288,379.75,349.375
4702921684,2965.5483870967741,8572.0645161290322,6.9551612830931147,5.129032258064516,26.032258064516132,237.48387096774192,766.41935483870975,438.22222222222223,417.48148148148152
4319703577,2037.6774193548383,7268.8387096774195,4.8922580470361039,3.5806451612903225,12.322580645161292,228.77419354838707,735.8064516129034,501.9615384615384,476.65384615384625
6290855005,2599.6206896551716,5649.5517241379312,4.2724138046133096,2.7586206896551726,3.7931034482758617,227.448275862069,1193.0344827586207,,
6117666160,2261.1428571428569,7046.7142857142844,5.342142914022717,1.5714285714285716,2.0357142857142851,288.35714285714289,796.28571428571422,510.16666666666669,478.77777777777771
2320127002,1724.1612903225805,4716.8709677419338,3.1877419044894566,1.3548387096774193,2.5806451612903225,198.1935483870968,1220.0967741935488,69.0,61.0
1927972279,2172.8064516129034,916.1290322580644,0.63451612308140759,1.32258064516129,0.774193548387097,38.580645161290334,1317.4193548387098,437.8,417.0
8792009665,1962.3103448275863,1853.7241379310346,1.1865517168209476,0.96551724137931039,4.0344827586206895,91.793103448275843,1060.4827586206895,453.80000000000007,435.66666666666674
4057192912,1973.75,3838.0,2.86250001192093,0.75,1.5,103.0,1217.25,,
1844505072,1573.4838709677417,2580.0645161290327,1.7061290368437776,0.12903225806451613,1.2903225806451617,115.45161290322579,1206.6129032258063,961.0,652.0
2026352035,1540.6451612903224,5566.8709677419347,3.454838715253338,0.096774193548387108,0.25806451612903225,256.64516129032256,689.41935483870964,537.64285714285722,506.17857142857139
